lon,lat,course_id,track_seg_point_id,ele,dis
141.32404,38.45275,2,133,10.2,2.602318654
141.32421,38.45274,2,134,10.7,2.617163827
141.32442,38.45273,2,135,10.3,2.635484245
141.32465,38.45273,2,136,10.1,2.655512474
141.32478,38.45273,2,137,10,2.666832777
141.32483,38.45273,2,138,9.9,2.67118674
141.32489,38.45274,2,139,10,2.676528509
141.3251,38.45276,2,140,9.7,2.694949879
141.32517,38.45278,2,141,9.6,2.701438439
141.32532,38.45282,2,142,9.4,2.715236828
141.32546,38.45287,2,143,9.3,2.728635828
141.32554,38.4529,2,144,9.2,2.736359662
141.32555,38.45291,2,145,9.3,2.737772004
141.3256,38.45293,2,146,9.3,2.742661035
141.32567,38.45296,2,147,9.2,2.749609661
141.3262,38.45321,2,148,10,2.803486912
141.32647,38.45334,2,149,10.6,2.831086459
141.32648,38.45335,2,150,10.9,2.832498798
141.3266099,38.4534,2,151,11.6,2.845102796
141.32668,38.45343,2,152,12,2.852059026
141.32672,38.4534499,2,153,12.1,2.856185604
141.32676,38.45348,2,154,12.3,2.861016178
141.3268,38.45351,2,155,12.5,2.865839054
141.32685,38.45356,2,156,12.9,2.872900741
141.3269,38.4536,2,157,13,2.879124848
141.32708,38.45379,2,158,13.3,2.90543129
141.3272299,38.45394,2,159,12.3,2.926610949
141.32736,38.45409,2,160,10.9,2.946773779
141.32738,38.45412,2,161,10.6,2.950536878
141.32742,38.45416,2,162,9.9,2.95618621
141.32744,38.4541899,2,163,9.7,2.959939455
141.32746,38.45422,2,164,9.4,2.963712413
141.32749,38.45427,2,165,9.1,2.969855303
141.32753,38.45436,2,166,9.4,2.980451677
141.32762,38.45451,2,167,9.8,2.998880338
141.32781,38.45483,2,168,10.2,3.038121047
141.32791,38.45499,2,169,10,3.05792889
141.32792,38.45501,2,170,10,3.060317188
141.32799,38.4551299,2,171,9.9,3.074976767
141.3282,38.45545,2,172,9.3,3.11499274
141.3282,38.45546,2,173,9.4,3.116104691
141.32833,38.45566,2,174,9,3.14105891
141.3285,38.45592,2,175,9.9,3.173538965
141.32864,38.45614,2,176,11,3.200871063
141.32869,38.45622,2,177,11.1,3.210774951
141.32873,38.45627,2,178,11,3.217335603
141.32877,38.45632,2,179,10.8,3.223896254
141.32881,38.45637,2,180,10.5,3.230456904
141.32887,38.45643,2,181,9.9,3.238930801
141.32891,38.45646,2,182,9.4,3.243753574
141.32897,38.4565,2,183,8.5,3.250614928
141.32906,38.4565399,2,184,6.9,3.259620391
141.32909,38.45655,2,185,6.4,3.262463819
141.3291099,38.45656,2,186,6,3.264522697
141.32916,38.45658,2,187,5,3.269419289
141.32923,38.4566,2,188,4.9,3.275907545
141.3292899,38.45662,2,189,4.8,3.281577638
141.32933,38.4566299,2,190,4.8,3.285238748
141.3294699,38.45666,2,191,4.6,3.297871907
141.32994,38.45675,2,192,4.3,3.34001119
141.32998,38.45676,2,193,4.3,3.343667357
141.33,38.45677,2,194,4.4,3.345733564
141.33002,38.45677,2,195,4.4,3.347475052
141.33009,38.45679,2,196,4.4,3.353963293
141.33057,38.45689,2,197,5.5,3.397212811
141.33089,38.45696,2,198,7.1,3.426143303
141.33121,38.45702,2,199,9.4,3.454794627
141.33128,38.45703,2,200,9.9,3.460990409
141.33132,38.45704,2,201,10.2,3.464646562
141.3313499,38.45705,2,202,10.5,3.467477591
141.33137,38.45705,2,203,10.6,3.469227779
141.33141,38.45707,2,204,11.2,3.473360182
141.33146,38.45708,2,205,11.6,3.477853638
141.33151,38.45711,2,206,12.4,3.483338399
141.33166,38.45719,2,207,14.6,3.499141052
141.33175,38.45722,2,208,14.7,3.507658149
141.3317999,38.45724,2,209,14.8,3.512539197
141.33184,38.45726,2,210,14.9,3.516678934
